collection,campaign,campaign_type,targeting,ad_group,keyword,match_type,bid_usd,daily_budget,language,notes
AI & Artificial Intelligence,AI & Artificial Intelligence | Auto,Sponsored Products,Auto,auto_all,(auto — Amazon elige targets),Auto,0.35,2.4,en,Lanzar primero. Dejar 2 semanas. Minar search terms para Manual.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Broad,Sponsored Products,Keyword,broad_seeds,artificial intelligence books,Broad,0.3,2.8,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Broad,Sponsored Products,Keyword,broad_seeds,machine learning book,Broad,0.3,2.8,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Broad,Sponsored Products,Keyword,broad_seeds,AI explained,Broad,0.3,2.8,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Broad,Sponsored Products,Keyword,broad_seeds,understanding artificial intelligence,Broad,0.3,2.8,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Broad,Sponsored Products,Keyword,broad_seeds,AI for beginners,Broad,0.3,2.8,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Broad,Sponsored Products,Keyword,broad_seeds,deep learning book,Broad,0.3,2.8,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Broad,Sponsored Products,Keyword,broad_seeds,ChatGPT book,Broad,0.3,2.8,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Broad,Sponsored Products,Keyword,broad_seeds,future of AI,Broad,0.3,2.8,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Broad,Sponsored Products,Keyword,broad_seeds,artificial intelligence guide,Broad,0.3,2.8,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Broad,Sponsored Products,Keyword,broad_seeds,technology books nonfiction,Broad,0.3,2.8,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Broad,Sponsored Products,Keyword,broad_seeds,AI and society,Broad,0.3,2.8,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Broad,Sponsored Products,Keyword,broad_seeds,neural networks explained,Broad,0.3,2.8,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,nova method book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,method book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,actually works book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,actually book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,machine learning book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,learning without book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,without math book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,machine book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,learning book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,without book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,neural networks book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,networks explained book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,neural book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,networks book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,explained book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,large language book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,language models book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,language book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,models book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,speaks book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,creates book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,data feeds book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,algorithms book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,narrow strong book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,strong agi book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,narrow book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,strong book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,working colleague book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,working book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | Manual Exact,Sponsored Products,Keyword,exact_titles,colleague book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
AI & Artificial Intelligence,AI & Artificial Intelligence | ASIN Competidores,Sponsored Products,Product (ASIN),competitor_asins,[BUSCAR EN AMAZON: Life 3.0 Max Tegmark],ASIN,0.4,0.8,en,Reemplazar [BUSCAR EN AMAZON: ...] con el ASIN real (B0XXXXX). Aparecer en paginas de competidores.
