collection,language,num,title,subtitle,series_title,volume_in_series,author,description,keywords,category_1,category_2,cover_path,md_path,price_usd,price_eur,royalty_pct,net_usd,kdp_select
AI & Artificial Intelligence,en,0,The NOVA Method,Your Complete Guide to Understanding Using and Thriving in the Age of AI,Mother Book,0,Enrique Padrón,"The foundational framework for the entire collection. The NOVA Method (Narrative, Opportunity, Value, Adaptation) provides a clear mental model for navigating artificial intelligence with confidence and judgment.

Elena, 34, is a software engineer at a mid-sized tech company. She uses AI tools daily but feels she is barely scratching the surface of what they can do. She worries that colleagues who understand AI more deeply will outpace her.

Ruben, 29, is a freelance marketer. He has started using AI to produce content faster, but he is not sure whether this is helping him grow professionally or just making him more dependent on a tool he does not truly understand.",artificial intelligence;machine learning;AI;technology;method;complete;guide,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\000.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\00_Mother_Book\The_NOVA_Method.md,0.99,0.99,35%,0.346,No
AI & Artificial Intelligence,en,1,How AI Actually Works,A Clear Guide for Non-Technical People,Series 1: AI Fundamentals,1,Enrique Padrón,"A precise, jargon-free explanation of how artificial intelligence works at the mechanism level. After this book, you understand not just what AI can do, but why — and when to trust it.

Elena opened her laptop and typed 'explain machine learning' into ChatGPT. The response was clear, well-written, and felt helpful. But when her colleague asked her to explain, in her own words, what machine learning actually was, she found she could not.

This is the gap this book closes. Not a technical deep-dive — a clear understanding of the mechanisms behind the AI you already use.",artificial intelligence;machine learning;AI;technology;actually;works;clear,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\001.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_01_AI_Fundamentals\1_How_AI_Actually_Works.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,2,Machine Learning Without the Math,What You Really Need to Know,Series 1: AI Fundamentals,2,Enrique Padrón,"Supervised learning, neural networks, training and overfitting — explained without a single equation. The concepts every professional needs to reason about AI systems intelligently.

Ruben attended a webinar about machine learning for marketers. Within ten minutes, the presenter had introduced gradient descent, loss functions, and backpropagation. Ruben closed the tab.

Most introductions to machine learning assume either too much or too little. This book assumes you are smart, busy, and need the concepts — not the equations.",artificial intelligence;machine learning;AI;technology;machine;learning;without,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\002.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_01_AI_Fundamentals\2_Machine_Learning_Without_the_Math.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,3,Neural Networks Explained,The Architecture Behind the Intelligence,Series 1: AI Fundamentals,3,Enrique Padrón,"From perceptrons to Transformers: the evolutionary story of the architecture that powers modern AI. Understand the Transformer that changed everything — without the math.

When people ask how AI 'thinks', they often get one of two answers: 'it's just statistics' (dismissive) or 'it's too complex to explain' (evasive). Neither is satisfying or accurate.

Neural networks can be explained clearly. Not the mathematics — the concepts. And the concepts matter because they determine what these systems can and cannot do.",artificial intelligence;machine learning;AI;technology;neural;networks;explained,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\003.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_01_AI_Fundamentals\3_Neural_Networks_Explained.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,4,Large Language Models,How ChatGPT and Its Cousins Actually Work,Series 1: AI Fundamentals,4,Enrique Padrón,"Tokens, context windows, temperature, RAG, fine-tuning: the technical concepts behind the LLMs you use daily, explained clearly for the professional who wants to use them well.

Jordan had been using ChatGPT daily for six months before a colleague asked him a simple question: ""How does it actually know what to say?"" Jordan paused. He could describe what ChatGPT did — answer questions, write code, summarize documents — but he realized he had no idea how it worked at the level that mattered. He was operating a powerful tool he fundamentally did not understand.

That gap matters. When you understand how a large language model generates text, you understand why it fails when it fails, why certain prompt strategies work, and where its limits are structural rather than temporary. You stop being surprised by hallucinations and start predicting them. You stop wondering why…",artificial intelligence;machine learning;AI;technology;large;language;models,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\004.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_01_AI_Fundamentals\4_Large_Language_Models.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,5,AI That Sees,Computer Vision and How Machines Perceive the World,Series 1: AI Fundamentals,5,Enrique Padrón,"From facial recognition to medical imaging: how computers have learned to see, what they see better than humans, and what this means for privacy and professional practice.

Isabel approved a computer vision system for office access control without fully understanding what it meant to 'train' a facial recognition system on employee data. This book is what she wishes she had read first.",artificial intelligence;machine learning;AI;technology;computer;vision;machines,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\005.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_01_AI_Fundamentals\5_AI_That_Sees.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,6,AI That Speaks,Voice Recognition Speech Synthesis and Conversational AI,Series 1: AI Fundamentals,6,Enrique Padrón,"The technology behind voice assistants, transcription, synthetic voices, and conversational interfaces — and the opportunities and risks they create.

Ruben recorded a podcast and had it transcribed, translated, and turned into a synthetic voice version in a different language — all with AI. He barely understood how any of it worked. He wanted to.",artificial intelligence;machine learning;AI;technology;speaks;voice;recognition,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\006.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_01_AI_Fundamentals\6_AI_That_Speaks.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,7,AI That Creates,Generative AI and the New Era of Machine Creativity,Series 1: AI Fundamentals,7,Enrique Padrón,"How diffusion models generate images, LLMs generate text, and AI generates music. The mechanisms, the possibilities, and the questions about creativity this raises.

When the first AI-generated image won an art competition in 2022, the controversy was immediate. Artists felt cheated. Technologists felt misunderstood. Everyone felt unprepared. This book prepares you.",artificial intelligence;machine learning;AI;technology;creates;generative;machine,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\007.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_01_AI_Fundamentals\7_AI_That_Creates.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,8,The Data That Feeds AI,Why Data Is the Oil of the 21st Century,Series 1: AI Fundamentals,8,Enrique Padrón,"Training data, data quality, bias in data, privacy and intellectual property questions: the crucial but often invisible layer that determines what AI systems can and cannot do.

Isabel's company had fifteen years of employee data. A new CTO proposed 'doing something with it'. She needed to understand what 'data' meant in the context of AI before she could lead that conversation intelligently.",artificial intelligence;machine learning;AI;technology;feeds;century,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\008.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_01_AI_Fundamentals\8_The_Data_That_Feeds_AI.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,9,Algorithms,The Language of the Future,Series 1: AI Fundamentals,9,Enrique Padrón,"The invisible decisions that shape your credit score, your social media feed, and your job search. Understanding algorithms is not just technical literacy — it is democratic literacy.

Ruben did not know an algorithm had decided he would not see the job posting that changed his friend's career. LinkedIn's system had ruled out his profile. This book is about the invisible decisions algorithms make.",artificial intelligence;machine learning;AI;technology;algorithms;language,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\009.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_01_AI_Fundamentals\9_Algorithms.md,2.99,2.99,70%,2.084,No
